Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2018010446430,14-Dec-17,10/24/2017 0:00,BUF,Buffalo Niagara International,Jet Blue,Property Damage,Checked Baggage,Household Items,-,In Review
2017061540717,16-May-17,5/8/2017 0:00,BUF,Buffalo Niagara International,Delta Air Lines,Property Damage,Checked Baggage,Other,-,In Review
2017083142590,17-Jul-17,7/16/2017 15:00,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00,Deny
2017101744431,17-Oct-17,9/20/2017 0:00,BUF,Buffalo Niagara International,Southwest Airlines,Property Damage,Checked Baggage,Personal Electronics,-,In Review
2017111445165,19-Oct-17,1/1/2017 5:00,BUF,Buffalo Niagara International,Delta Air Lines,Property Damage,Checked Baggage,-,-,In Review
2017051639577,21-Mar-17,3/18/2017 0:00,BUF,Buffalo Niagara International,Delta Air Lines,Passenger Property Loss,Checkpoint,Computer & Accessories,-,*Insufficient
2017060940406,24-Apr-17,4/4/2017 0:00,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,-,In Review
2017061440654,24-Apr-17,4/19/2017 0:00,BUF,Buffalo Niagara International,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017120745789,27-Nov-17,11/24/2017 15:45,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,-,In Review
2017121245953,27-Nov-17,10/3/2017 8:00,BUF,Buffalo Niagara International,Southwest Airlines,Property Damage,Checked Baggage,Other,-,In Review
2018010946719,28-Dec-17,12/28/2017 4:45,BUF,Buffalo Niagara International,Southwest Airlines,Property Damage,Checkpoint,Personal Electronics,-,*Insufficient
2017063041158,30-Jun-17,5/30/2017 0:00,BUF,Buffalo Niagara International,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017102644794,2-Oct-17,9/24/2017 17:30,BUR,Bob Hope,Delta Air Lines,Passenger Property Loss,Checkpoint,-,-,In Review
2017091443143,3-Aug-17,7/19/2017 0:00,BUR,Bob Hope,UAL,Passenger Property Loss,Checked Baggage,Cameras,-,*Insufficient
2017091142912,3-Jul-17,5/18/2017 0:00,BUR,Bob Hope,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras; Personal Accessories,-,In Review
2017051739632,8-May-17,4/21/2017 0:00,BUR,Bob Hope,Jet Blue,Property Damage,Checked Baggage,Travel Accessories,-,In Review
2017120445718,9-Nov-17,9/14/2017 6:17,BUR,Bob Hope,Southwest Airlines,Property Damage,Checked Baggage,-,-,In Review
2017090142676,10-Jul-17,5/4/2017 0:00,BUR,Bob Hope,American Airlines,Passenger Property Loss,Checkpoint,Currency,-,*Insufficient
2017062641000,11-Apr-17,3/26/2017 0:00,BUR,Bob Hope,Southwest Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
2017072541821,14-Jun-17,6/12/2017 0:00,BUR,Bob Hope,UAL,Property Damage,Checked Baggage,Clothing,-,In Review
2017052239850,14-Mar-17,2/28/2017 0:00,BUR,Bob Hope,Southwest Airlines,Property Damage,Checked Baggage,Home Decor,-,*Insufficient
2017052239810,18-Apr-17,3/26/2017 0:00,BUR,Bob Hope,Southwest Airlines,Property Damage,Checked Baggage,Cameras,-,In Review
2017091943196,21-Aug-17,6/27/2017 5:00,BUR,Bob Hope,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,$0.00,Deny
2017042538884,21-Feb-17,2/14/2017 6:30,BUR,Bob Hope,UAL,Property Damage,Checked Baggage,Home Decor,-,In Review
2017121846057,22-Nov-17,11/10/2017 15:30,BUR,Bob Hope,Southwest Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,-,In Review
2017062140890,23-May-17,5/4/2017 0:00,BUR,Bob Hope,American Airlines,Passenger Property Loss,Checkpoint,Currency,-,*Insufficient
2017042438844,24-Apr-17,2/12/2017 11:30,BUR,Bob Hope,Southwest Airlines,Property Damage,Checkpoint,Computer & Accessories,-,In Review
